"kinase","No_Inhib_logFC","No_Inhib_P","JNKIN8_logFC","JNKIN8_P","T5224_logFC","T5224_P","JNK_interaction","JNK_interaction_P","T5224_interaction","T5224_interaction_P","JNK_candidate_FDR","T5224_candidate_FDR"
"ACVR1C",-1.92808428090835,7.63447291392428e-06,-1.02740608316186,0.00245144025540941,-1.83106460318402,1.32948364729246e-05,0.900678197746493,0.0381200094914601,0.0970196777243295,0.808461829657143,0.101002257955069,0.909519558364286
"PIM1",0.957005131751797,1.98637706765591e-05,0.782741443140307,0.000145889906440512,0.760793713241022,0.000189978502249699,-0.17426368861149,0.427582820929504,-0.196211418510774,0.373205468081646,0.481030673545692,0.559808202122469
"TESK2",-1.44002468664609,2.64485631497876e-05,-0.705719377131016,0.00923605897328529,-1.30680948140738,7.0192018358368e-05,0.734305309515071,0.0432386337669148,0.133215205238705,0.692409918796487,0.101002257955069,0.890241324166911
"TRIB3",0.944223114642724,4.6912043799807e-05,0.493065005824916,0.00885346919934079,0.546537540151534,0.00461580559049134,-0.451158108817808,0.0690778150405267,-0.39768557449119,0.104488710851811,0.124340067072948,0.285450742835273
"ERBB3",-1.51752035663425,9.36166199133985e-05,-0.647075886027844,0.0362937304426969,-1.52410946630005,8.97851893155396e-05,0.870444470606411,0.0448898924244752,-0.00658910966579196,0.986910701796085,0.101002257955069,0.986910701796085
"SNRK",-0.9089420834345,0.000337795759064921,-0.530297266607737,0.0155011185416976,-0.186190468185657,0.348836705019185,0.378644816826763,0.185237860948229,0.722751615248843,0.0188366175829417,0.238162964076294,0.169529558246475
"CDK2",-0.880833437647585,0.000361062508897751,-0.476699626114916,0.0237121822661053,-1.31161875470821,7.03518848596296e-06,0.404133811532668,0.150064762133889,-0.430785317060625,0.126866996815677,0.225097143200833,0.285450742835273
"STK32A",-1.2668494796857,0.000363220658205759,-0.284493370247564,0.309800286791321,-1.7445810688613,1.63755544820821e-05,0.982356109438136,0.0223060857270893,-0.477731589175604,0.231390709372712,0.101002257955069,0.416503276870881
"PRKCE",-1.0870059131003,0.000571988167270534,-0.84924385070231,0.00378001838848376,-0.479451396143952,0.070008612412826,0.237762062397992,0.502281274984492,0.60755451695635,0.100561456352437,0.502281274984492,0.285450742835273
