"kinase","logFC","AveExpr","t","P.Value","adj.P.Val","B","kinase_FDR"
"PRKCQ",1.32821522653997,-1.18529693582819,2.88671598127572,0.0121669207900728,0.189700432474589,-3.0971033814451,0.180982946752333
"DCLK2",0.79379129256917,3.37315220351351,2.80001138124163,0.0144157248173584,0.207793707080582,-3.25756118833214,0.207935909486746
"NIM1K",-0.765499427495163,2.7971206569813,-2.76585943237251,0.0154091534207389,0.216612728038914,-3.32043819610845,0.210633886531985
"EGFR",0.962313853921424,4.15740094276943,2.75626621944054,0.0157000383404167,0.218596159451786,-3.33806463567726,0.210633886531985
"FLT4",-0.784366743579147,-0.510285322803045,-2.74875157027127,0.0159316350146008,0.219536700259113,-3.35186074340019,0.210633886531985
"BRSK1",-1.49938338064556,0.144196189779743,-2.73472729837499,0.016372802104377,0.223373588342972,-3.37758106276009,0.210633886531985
"DSTYK",-0.413880451333957,6.95347986356242,-2.71711092533444,0.0169438701920609,0.226338366035619,-3.40983881233694,0.210724695105971
"CHEK2",0.536391057269097,4.36347790440707,2.68917078441883,0.0178895987264238,0.233534635801485,-3.46088186990847,0.210724695105971
"NRBP1",0.319760807516237,7.36130266840975,2.66795154954112,0.018641937205309,0.237958061107825,-3.49954599089959,0.210724695105971
"BMPR1B",-1.11156213811744,3.77522804938783,-2.66357296497802,0.0188009635732284,0.238545263587021,-3.50751321146574,0.210724695105971
"RNASEL",-0.306869366182744,4.86651149576442,-2.6476308673403,0.0193911665831913,0.241872309067178,-3.53648848299261,0.210724695105971
"ROR2",1.61769087198323,0.512976455603963,2.64633876741004,0.0194397819726161,0.241912767992563,-3.53883463878505,0.210724695105971
"MAP3K3",-0.564978902581009,5.29201508848095,-2.63240704565502,0.0199715273968293,0.245850866483196,-3.5641094192336,0.210724695105971
"EPHB1",-2.26104430857881,-0.676793820276997,-2.62991576379957,0.0200680886907194,0.246127177103703,-3.56862479277351,0.210724695105971
"EPHA3",-0.681858182913117,3.81196031826127,-2.62234909168023,0.0203641512077199,0.24822286769246,-3.58233109980038,0.210724695105971
"NEK5",-0.794535633936106,1.42006861897695,-2.59999498125065,0.0212637096298447,0.253438734306536,-3.62275152628794,0.215351612421405
"CAMK1G",-1.5832982889698,-0.794997238182123,-2.5766470130201,0.0222442446889039,0.259613176241654,-3.6648514119933,0.22058875983163
"DMPK",0.747292924985041,5.47993052094783,2.55239975431845,0.023308698498249,0.265120914929179,-3.70844149850573,0.226427356840133
"BCKDK",0.333209557442756,6.87310777605518,2.54071226962945,0.0238391551986633,0.2678299006649,-3.72940337606402,0.226948757491274
"ILK",0.290501660560853,8.08779619396626,2.51792246953319,0.0249071277465243,0.273518581314908,-3.77018334515685,0.232466525634227
"ALPK2",1.03066892493915,2.88166061829466,2.50356522978601,0.0256033965293903,0.276068261781799,-3.79580876466436,0.234369552845957
"AATK",-0.802521803357612,3.88172483198072,-2.46528514053267,0.0275523384867241,0.285275540305186,-3.86387764051554,0.247451190937371
"EPHA2",0.541131281898731,2.75282305939447,2.44795433463569,0.028480719414913,0.287962905863216,-3.89456927279035,0.249104827474047
"PKDCC",0.910282521031983,2.57258827939665,2.44242572953247,0.028783120821581,0.289014923547825,-3.90434314271285,0.249104827474047
"HIPK2",-0.439502463198432,7.90661151957345,-2.42549586878286,0.0297283475379218,0.293111061175467,-3.93422130632818,0.252690954072335
"NUAK2",1.01110773211602,2.3058134810119,2.39915556633409,0.0312581217118563,0.301298380329904,-3.98054921887273,0.26103273569901
"STRADB",-0.330919278802226,6.7039931847847,-2.37250713394744,0.0328819400408712,0.309260529130519,-4.02721780513466,0.269548526786054
"PRKD3",-0.715259877217567,6.39109900397796,-2.36410370114053,0.0334104266394478,0.31182482394401,-4.0418914726624,0.269548526786054
"MAP2K7",0.342442771485373,5.9340403909208,2.29460240395473,0.0381008766856617,0.331987375222477,-4.1624282209016,0.293024091669738
"KALRN",-1.45909846279443,1.3979852084475,-2.29372733307039,0.0381637237788089,0.332048586461651,-4.16393622142826,0.293024091669738
"CDK15",0.878082129776411,2.29763440530268,2.28693249234702,0.0386550665950419,0.333967540750937,-4.17563730343973,0.293024091669738
"PAK1",0.245667088417091,6.27478237619756,2.28348489998753,0.0389066431997854,0.334930524438069,-4.18156853122941,0.293024091669738
"IRAK3",-1.86866863608344,-1.04002784039318,-2.27680893222146,0.0393981971992926,0.337037789559624,-4.19304284628724,0.293024091669738
"IKBKE",0.603695407899643,4.12509414695819,2.24228247535504,0.0420351532181815,0.346794872481946,-4.25214984648369,0.307826660490068
"ALPK1",0.500794039749827,4.19620128114915,2.22105212972022,0.0437380801182844,0.353498223229992,-4.28829454412638,0.311129969550742
"MAP3K11",-0.47332782581555,7.69617951676753,-2.21893045621495,0.0439117763620363,0.354146996979606,-4.29189814254093,0.311129969550742
"INSR",-0.495530444227082,6.46955398896997,-2.21244023956205,0.0444471385072489,0.355836333181631,-4.30291182832408,0.311129969550742
"PRKD1",-0.737380119015541,4.4216045966215,-2.18057350180033,0.0471655913721782,0.366342476844952,-4.35677237196062,0.324664846317886
"TGFBR2",-0.817941024528217,4.57404919846541,-2.17400595718932,0.0477448303408656,0.367878453122948,-4.36782735153302,0.324664846317886
"ERN2",-1.2149508313438,-0.215074802875553,-2.15016868958454,0.0499034512370246,0.374903844262251,-4.40781899376722,0.334563982941179
"STK36",0.522771009128166,4.72394005561641,2.12420582993183,0.0523577633374024,0.382762919605058,-4.45113489316177,0.34259432959316
"CDK16",0.379855997727952,7.00174580053194,2.11842228858887,0.0529195557308049,0.384511616892079,-4.4607490535997,0.34259432959316
"CSNK1G2",0.492820695720631,4.22743114152593,2.11494044154993,0.0532604630039787,0.385884272150223,-4.46653081833381,0.34259432959316
"STK19",-0.556329834272873,2.79709781628112,-2.06689536208766,0.0581771151650278,0.396551039006845,-4.54582572411759,0.36923075758071
"PRKCA",0.617710610715735,6.4480183857923,2.04155669787702,0.0609358419089467,0.405320185378447,-4.58727109788452,0.373001106305584
"NEK6",0.322511100570082,7.44090330607704,2.04093478161194,0.0610050430215468,0.405450649057543,-4.58828501361051,0.373001106305584
"MAPK15",0.76162034986365,-2.0076887056809,2.03988488445218,0.0611220300248647,0.405875407128377,-4.58999630579992,0.373001106305584
"FGFR2",-0.866398792954548,-0.0953545826158783,-2.02906768233333,0.0623394334647354,0.40913835607878,-4.60760115735085,0.375614814293848
"PINK1",-0.333431382695053,4.83917918410761,-1.98736525638195,0.0672440235920396,0.419243476512382,-4.6750068591677,0.39906159376784
"HIPK1",-0.469040794192173,4.86563619531952,-1.98193901325512,0.0679075401159559,0.420038146748435,-4.68372236906448,0.39906159376784
"MAPK13",0.767504797892602,1.19293847704072,1.95685069337167,0.0710537319417668,0.428693897859534,-4.72384979776248,0.40843729133293
"ABL2",0.292674955772182,5.89046837995587,1.95324870436165,0.0715161883474751,0.42917244873391,-4.72958795885601,0.40843729133293
"CAMK2D",0.452404037913873,6.07143378278516,1.9480302064542,0.0721910490519092,0.431081779465448,-4.73789094476708,0.40843729133293
"MAP2K3",-0.210651846471553,5.7155679648587,-1.94232688289632,0.072935230595166,0.433409653669909,-4.74695124099314,0.40843729133293
"LYN",-0.981072968263633,-0.0559634488160993,-1.93050989695389,0.0744993731158353,0.437172414749122,-4.76567658517678,0.412345367478344
"MAP2K2",0.484391449438546,5.07706613268001,1.90516781789221,0.077956843981865,0.444885949393205,-4.80561698410705,0.425491962931109
"OBSCN",0.773314999373917,1.93549087071324,1.90012183568013,0.0786623797015496,0.445669552581021,-4.81353394344319,0.425491962931109
"SMG1",-0.350663143961478,6.85332121081273,-1.88096363255464,0.0813939536616905,0.450332383425641,-4.84348275858875,0.432852155501807
"VRK2",-0.193099568633276,5.17717344081606,-1.87787816594074,0.0818417941074845,0.451105131686395,-4.84828971268712,0.432852155501807
"FER",-0.392500476104589,5.29869249986156,-1.83432503739941,0.0884042826957132,0.464618450077521,-4.91564933183499,0.456927646420336
"MYLK",-0.828520644531025,6.12901436769108,-1.83261019559527,0.0886720703523281,0.464618450077521,-4.91828241340967,0.456927646420336
"DAPK2",0.649308765522073,2.48027450494041,1.82877450258334,0.0892736788174187,0.465659960697211,-4.92416667894682,0.456927646420336
"FRK",-0.334189482731061,4.3852152409931,-1.8156052395197,0.0913671017078238,0.470888558946421,-4.9443132474609,0.462667451201321
"MAP3K5",1.02239650496589,1.68558976918144,1.79728066061048,0.0943529639372136,0.476571933614372,-4.97220040290468,0.470397100793317
"PRKCZ",0.376031903564794,4.45513246539693,1.79416017213776,0.0948700035213412,0.4777390388406,-4.97693220007458,0.470397100793317
"LATS2",-0.546743738204843,4.29394319663559,-1.78452049096685,0.0964831870578601,0.48066512368719,-4.99151777344366,0.473463887005581
"CDK13",-0.280751838083727,4.57571159775729,-1.76320647481738,0.100136871450457,0.489773687395791,-5.02359596237283,0.48637908990222
"IRAK1",0.321538012810074,5.97506738063403,1.74260027264981,0.103785253386013,0.497952984372778,-5.05438119550863,0.495687647807763
"SCYL1",0.274534273157641,7.01919349006603,1.74053193158643,0.104157867920027,0.499247153648372,-5.05745874999011,0.495687647807763
"SLK",-0.263355041690597,5.5710610862024,-1.73490571169928,0.105177421068454,0.501842534483038,-5.06581856580896,0.495687647807763
"PDGFRA",0.38157413957789,5.04641904529013,1.70522375760383,0.110703135402853,0.510464457690931,-5.10963782876013,0.51240377713556
"MAST3",-1.24351010731272,3.24780670054271,-1.70032395646637,0.111639421814532,0.511871912199466,-5.11682495157763,0.51240377713556
"CLK1",-0.373408879765167,6.49156543001235,-1.69546699820821,0.11257436784677,0.513088199152147,-5.12393611951092,0.51240377713556
"STK40",0.473088552517898,3.11589334438905,1.68871708513004,0.11388508931287,0.515499516212314,-5.13379703182637,0.51240377713556
"PIM2",-0.248609576293983,3.74467442903208,-1.67865470903491,0.11586382696134,0.519193061853063,-5.14844984472458,0.51240377713556
"STK38",0.193951489281123,4.75554540549627,1.67165343425106,0.117258269105905,0.521377190540137,-5.15861151535066,0.51240377713556
"PAK3",-0.894787555681151,3.05436397299318,-1.67011764458734,0.117566103477664,0.521377190540137,-5.16083686346775,0.51240377713556
"DAPK1",0.367014115705278,6.14663653165712,1.66672288840964,0.1182490521696,0.522545568336165,-5.16575110127592,0.51240377713556
"EPHB6",-1.25262548233688,-0.93060862010596,-1.65989720030531,0.119632700900875,0.524460416572403,-5.17561213457936,0.51240377713556
"TRPM6",-0.899619077104229,0.170961008345843,-1.65545333387693,0.120541084633426,0.525416623176229,-5.18201789079977,0.51240377713556
"MAPK9",0.435104805059079,2.63282991532549,1.65365444027869,0.120910504718833,0.525943693728243,-5.18460775388069,0.51240377713556
"CAMK4",-0.309459603799064,4.55026896636776,-1.65010612302987,0.121642073143526,0.527216867963865,-5.18971082055225,0.51240377713556
"WNK2",-0.54704977466572,-2.0246517042082,-1.62750926244767,0.126391751373187,0.534688920820994,-5.22203836596325,0.527438561142252
"TAF1",-0.686887902340657,4.43210739209198,-1.61615718421679,0.128837891886726,0.538938626516323,-5.2381666717642,0.527438561142252
"ADCK2",0.373907805663671,2.65958226123287,1.61118174187402,0.129922823288113,0.540480105402616,-5.24521158577519,0.527438561142252
"MAPK11",0.35613373377692,2.96444266199261,1.6096806789917,0.13025168526456,0.541299795888701,-5.24733412718572,0.527438561142252
"RPS6KA5",-0.610363331265288,3.92372651797676,-1.60740521878086,0.130751576081483,0.541862952896902,-5.25054914463156,0.527438561142252
"YES1",0.288938063924003,4.5032888051755,1.60135836259275,0.132088041597387,0.544123433538276,-5.25907788115955,0.528352166389547
"CAMKK1",-0.525851026962807,2.26913143597828,-1.58812503993548,0.135053935923399,0.549233702496138,-5.27766668283747,0.535713945829483
"PAN3",-0.588651155393086,7.24289210123698,-1.57667560106782,0.137666005866972,0.553299521327956,-5.29366485121216,0.54156213878247
"HUNK",-0.541528892673974,0.270421420677491,-1.56487545651644,0.140403273377816,0.558265689266293,-5.31007001299222,0.547802935474101
"BRDT",-0.963012955690695,-1.35583862633939,-1.55461506582871,0.142821060556872,0.563111318081615,-5.32426548276933,0.550980932047282
"WEE1",-0.490012954335565,4.34719284652985,-1.55162270171814,0.14353284784425,0.564296908962468,-5.32839331526078,0.550980932047282
"MAK",-1.45705868941162,0.184750653825394,-1.52719169014261,0.149458056013195,0.573688752324254,-5.3618874709332,0.569136277298245
"ADCK5",0.199496573017763,4.26559992654257,1.51568870075642,0.152318968172153,0.5764352061243,-5.37752866458057,0.572658050256037
"TRRAP",-0.449108616692457,4.04235741302389,-1.50915929752167,0.153963423826923,0.578282312884297,-5.38636991282546,0.572658050256037
"SGK1",0.215477983586417,8.33872524014454,1.50904603731444,0.153992080741119,0.578282312884297,-5.38652303662529,0.572658050256037
"AKT3",-0.33184398144581,3.19151524125392,-1.49944848602249,0.156436856958156,0.580566348294668,-5.39946898651924,0.57723987528746
"EPHB4",-0.283706673221045,4.84507383396211,-1.47936902300803,0.161657609989406,0.588265262422504,-5.42636327669777,0.588306981101885
"DYRK4",-0.299415114922162,4.38116125279316,-1.47841972210161,0.161908013706611,0.588317670731847,-5.42762833865938,0.588306981101885
"TAOK3",0.231203825281759,6.45335612400858,1.47171356787647,0.163686227773644,0.589208751147458,-5.4365485030276,0.590262457729201
"CDK1",-0.344005480607732,5.93819646683726,-1.46680681191528,0.164997654001269,0.59130455520751,-5.44305670419285,0.590517919583491
"PDK1",0.272030678681232,5.94171759593174,1.44778872712451,0.170163932114675,0.599511024393293,-5.46813311810838,0.600974011926707
"ROCK2",-0.290453089479759,5.95223705208763,-1.44303911410821,0.171475010149007,0.60068312166292,-5.47435862782723,0.600974011926707
"CAMK2A",-0.775443107917415,-0.729977942060344,-1.44220234299945,0.171706860550488,0.601103250616356,-5.4754538722899,0.600974011926707
"NLK",-0.320693667370207,2.99552698736674,-1.43438801387449,0.173884649284034,0.605812488573522,-5.48565958804053,0.604153963935766
"VRK3",0.230363599496318,5.69373269972136,1.42847707928813,0.175547176996017,0.607925358721895,-5.49335244370675,0.605510552536986
"TBCK",-0.29992311374951,4.84841854691775,-1.40174503040162,0.183231201607113,0.615675198539456,-5.52785054498091,0.626543524881306
"CDC42BPG",-0.894736504911381,0.954664697925349,-1.39817695666213,0.184277507318031,0.617313461079198,-5.53241866585823,0.626543524881306
"CSNK2A2",-0.425278696335704,7.42004122798369,-1.39022912054301,0.186625819425004,0.620574332775712,-5.54256292270362,0.630027588980866
"SCYL3",-0.300240021363126,4.06374794943438,-1.37778096316898,0.190353168233435,0.62579803918687,-5.55836429350456,0.638085268162783
"AKT2",0.304204630682391,6.03038358690463,1.36637883612743,0.193820585062866,0.630694445741584,-5.57274418804918,0.638699393820268
"LATS1",0.307153557358453,4.68686745743048,1.36417261781038,0.194497422273625,0.631629936391782,-5.57551618400256,0.638699393820268
"MAST1",-0.86644813313124,0.813211213627642,-1.36284992696952,0.194904129315482,0.631725671371752,-5.57717645357039,0.638699393820268
"MYLK3",-0.636964250952356,2.09499160300451,-1.35960900300857,0.195903595583528,0.632581740524737,-5.58123938623901,0.638699393820268
"BRD3",-0.221692442534728,7.18334961732545,-1.35141730026926,0.198448452575454,0.634982926856701,-5.59147613043989,0.642594989291946
"EPHA6",-0.463401092230728,0.148388548881656,-1.34665927861383,0.199938892950638,0.637263685838266,-5.59740042997612,0.643046709760161
"MAP4K2",-0.45937359171823,3.21033041434742,-1.32256532372096,0.20762626286308,0.645844151787862,-5.62715530816949,0.663289269280711
"MARK3",-0.688908985024991,2.73126902527232,-1.31068997298001,0.21150201394203,0.649473332477767,-5.64166908353864,0.671166390909376
"RIOK2",0.277663901984551,5.3568539715567,1.30312566806088,0.214000953589834,0.652001337734857,-5.65086132979911,0.673716238597705
"CDK9",0.438490242837761,4.97817902203621,1.29971243067874,0.215136277871536,0.652126865605363,-5.65499566254275,0.673716238597705
"IRAK2",0.418463341365671,2.47435099068008,1.26461108509443,0.227093425019593,0.663542536890399,-5.69702202775358,0.703368546422689
"STRADA",0.264696775177265,5.16194546441324,1.25910085230363,0.229017501199367,0.665083276797803,-5.70353746446454,0.703368546422689
"MARK2",-0.450172992167923,2.92868526319309,-1.2531756260138,0.23110085963414,0.666935383722104,-5.71051858890495,0.703368546422689
"CDK10",0.258747243830772,5.90588220051186,1.25132502575003,0.231754606402057,0.667580460249349,-5.71269364856921,0.703368546422689
"WNK3",0.576757155139084,3.96113142157811,1.25065006614634,0.231993407118408,0.667867890737637,-5.71348631477536,0.703368546422689
"MAPK3",0.211239108858892,4.59434394721005,1.23745521534303,0.236700846552318,0.673440987432381,-5.72891420335366,0.710006203037824
"PKN3",0.400217579462183,2.21827213291053,1.23616281979562,0.237165937569357,0.673599579170011,-5.73041833993926,0.710006203037824
"PDGFRB",0.486038622624285,4.90909847240963,1.21867505343295,0.243529992841278,0.679179230968026,-5.75064811709991,0.716042797537376
"COL4A3BP",-0.350747642300937,5.75584752602891,-1.21678729084883,0.244224888964392,0.680117531768036,-5.75281811059771,0.716042797537376
"BMX",-0.471965304510017,-1.96066541358945,-1.21509896696673,0.244847681328481,0.680307732783797,-5.75475656785331,0.716042797537376
"FLT1",0.838988001791803,1.29361951052984,1.21129929719085,0.246253844097744,0.68140794664665,-5.75911129090637,0.716042797537376
"MATK",-0.678859623764909,-0.410861448388697,-1.21008696297669,0.246703821000273,0.68180729220224,-5.76049842139872,0.716042797537376
"BRD4",-0.18706038046406,6.0552586932494,-1.20466825477238,0.248722893079167,0.683454464922082,-5.76668477711625,0.717527861246567
"RPS6KA3",-0.335440499080236,3.89458553347337,-1.19390779600286,0.252770425663879,0.687963297279562,-5.77890338307836,0.7206187637978
"STK33",-0.47333744179639,1.89945200558523,-1.19377120810419,0.252822129315615,0.687963297279562,-5.77905791198234,0.7206187637978
"MARK4",-0.556400377730673,2.89300089796073,-1.18304744631847,0.256907096073333,0.689903601057788,-5.79114564206637,0.727903438874442
"ROS1",-0.478871730475404,-0.835894539431248,-1.17402394060301,0.260383710409487,0.695070652544097,-5.80124836475133,0.728910458890829
"STK31",-0.70742302386726,0.0953978026053773,-1.16893146223785,0.262361684891944,0.697038046653247,-5.80692215584182,0.728910458890829
"NEK11",-0.317611567436531,3.11420761606547,-1.16533317299317,0.263766245078477,0.697608567485024,-5.81091908507178,0.728910458890829
"ACVR1",-0.69985453959772,2.57307323634114,-1.15635690805045,0.267295182407363,0.699806709222328,-5.82084595499857,0.728910458890829
"ACVR2A",0.36314079915158,6.79002113652436,1.15501507928183,0.267825799118998,0.700608220047519,-5.82232449603355,0.728910458890829
"PAK2",0.234415055421675,5.89403646500585,1.15360029851475,0.268386135716008,0.700608220047519,-5.82388190040895,0.728910458890829
"FGFR1",0.239876923320341,4.07574265177195,1.14991828618206,0.269848627163146,0.701560599839004,-5.8279277665424,0.728910458890829
"MAPK1",-0.198371823489468,5.56563317488745,-1.14724300810594,0.270915052929656,0.702413996421649,-5.83086076311933,0.728910458890829
"ARAF",0.194880568563407,6.27609938483054,1.14691898062951,0.271044435343858,0.702510958418468,-5.8312156247885,0.728910458890829
"STK38L",-0.229143068588366,5.7891148133874,-1.13917857062348,0.274149148696165,0.704820591265027,-5.83966812494618,0.730630560103634
"RIPK2",0.125785622576381,5.32380526498364,1.13767854849295,0.274753929114602,0.705465304323751,-5.84130069901436,0.730630560103634
"TYRO3",-0.201825334380508,4.54238353211423,-1.12757831530462,0.27885254631815,0.708941723797214,-5.85224728267663,0.735989810134182
"AKT1",0.504754422219974,3.04980548447548,1.12510878905525,0.279861671500603,0.709462941378125,-5.85491148156419,0.735989810134182
"ATR",-0.501859652825823,3.75380030228811,-1.11852308077729,0.282566287018371,0.712262745422452,-5.86199270957596,0.739019519894201
"RPS6KB2",0.235825485751171,5.80743205568351,1.09980742696861,0.29035989485058,0.718650807712705,-5.88192805813238,0.749815166345947
"PNCK",-0.555681815436904,0.13239086902466,-1.09142382615695,0.29390276847193,0.721316861969687,-5.89076707950533,0.749815166345947
"ALK",-0.990689550074157,-1.24652797089436,-1.08965152820835,0.29465584733838,0.721821606387967,-5.8926284154004,0.749815166345947
"EPHA10",-0.383138595995822,-0.839569656319587,-1.08514367432179,0.2965777888441,0.723701715017499,-5.89735132663622,0.749815166345947
"PAK6",-0.980188248674675,0.230808705853378,-1.08094615375347,0.298375790550099,0.725253847021762,-5.90173434555927,0.749815166345947
"FASTK",0.290011476118183,7.22291666705343,1.07574910114572,0.300613141769928,0.726987601962917,-5.9071413112484,0.749815166345947
"CSNK2A1",0.217664542212536,6.05661666008031,1.07425242805158,0.301259766149524,0.727660161439953,-5.90869437517702,0.749815166345947
"ACVR2B",-0.427440535392173,2.5527656767718,-1.06709812156332,0.304364953444846,0.729829695541961,-5.91609309463026,0.749815166345947
"PDK3",-0.182896031138413,3.71739091189563,-1.06145069210386,0.306832756572198,0.732009444927503,-5.92190402129226,0.749815166345947
"PRKD2",0.27677479646777,3.59682148358994,1.05684294118263,0.308857139461672,0.734439000897762,-5.92662587790483,0.749815166345947
"DAPK3",0.229431811085502,7.15850615422008,1.05298546078021,0.310559435213641,0.735631007266045,-5.9305655232617,0.749815166345947
"SYK",-0.681910543611793,-1.1050295725864,-1.05213970847915,0.310933582474517,0.73572394340858,-5.93142766029502,0.749815166345947
"PRKDC",0.174435530687811,8.2458213433733,1.05137335479012,0.311272890627933,0.73572394340858,-5.93220835386616,0.749815166345947
"OXSR1",-0.188384701926062,5.20554549573034,-1.04942599097422,0.312136320654099,0.736071503448701,-5.93418998798813,0.749815166345947
"ROCK1",-0.134852398240422,6.30013782389082,-1.04864016619025,0.312485239544457,0.736271118580126,-5.93498876016657,0.749815166345947
