"kinase","logFC","AveExpr","t","P.Value","adj.P.Val","B","kinase_FDR"
"TRIB3",-2.79437421306298,7.60580127321225,-18.9857429700736,5.90924774478341e-06,0.0150643608579514,4.28661595304336,0.0028128019265169
"DDR2",-0.912495747957006,6.72142556112718,-9.01462827412885,0.000244017941725917,0.0572121652200013,1.3175559822767,0.0412594821147851
"MAPK4",2.16888118694143,-1.0896280017264,8.58506284889426,0.000309364652931105,0.0617287831754345,1.08753318711035,0.0412594821147851
"SGK3",0.87989979975323,6.83488344543254,8.38525134531208,0.000346718337099034,0.0618718872553227,0.975771682289118,0.0412594821147851
"HIPK3",0.73326392753589,5.14427333096955,6.6125979876812,0.00107312994514625,0.101322771804947,-0.169541624136211,0.102161970777923
"TESK2",-0.508837689262856,5.35152410132005,-6.35743087635609,0.00128875313892854,0.107466354038224,-0.360539920974651,0.102241082354998
"ROR1",-0.857959399761848,4.8657262112897,-5.3708321053107,0.00277765301966201,0.153953279670361,-1.17355392146494,0.178857608550131
"JAK2",-0.602226040000593,5.82756424607329,-5.27640733816074,0.00300601022773329,0.159239871745548,-1.25809786054948,0.178857608550131
"PKN3",-0.74474599496021,2.88354817225668,-5.04633158788404,0.00366032189226877,0.172663466114798,-1.46940609036625,0.186639787913845
"TEX14",1.99678790985459,1.2395171107499,4.9476217645842,0.00399094132848286,0.177527492633761,-1.56242458174563,0.186639787913845
"CDK4",-0.423192175109588,8.13720123596332,-4.8601777917399,0.00431310434254685,0.181682753832,-1.64603635574174,0.186639787913845
"HIPK2",0.393953866995292,7.73505933827469,4.35749942931566,0.00687222593088178,0.215356016023454,-2.14944251663797,0.259405227772005
"PLK2",0.589836019766498,7.34423240998233,4.29295100327687,0.00731424646220328,0.220850466883575,-2.21696847008854,0.259405227772005
"PRKAA2",1.15477149283997,-1.43497423882354,4.22469435536514,0.00781769186666012,0.228325223176023,-2.28910304189914,0.259405227772005
"TRIB2",-0.370971162787649,9.1447858126445,-4.16400122730526,0.00829907846795457,0.233947457363159,-2.35387717332991,0.259405227772005
"RPS6KA3",-0.673450803903703,3.65978152658511,-4.09789302818482,0.00886263071296214,0.23974590397753,-2.42511111429428,0.259405227772005
"MAPK13",-0.614715950208563,0.771364486950616,-4.053636150416,0.00926447242042873,0.242767269225478,-2.47319728278586,0.259405227772005
"ROCK1",0.385281900008412,5.55638744002906,3.95123826002305,0.0102769570292265,0.252606471331332,-2.58568154160314,0.271768419217323
"BRSK2",-0.724160519524243,3.31100219672491,-3.73099819651944,0.0129147437152463,0.276950554636964,-2.83342850913035,0.323548316234591
"SGK1",0.665731278078464,9.489376580626,3.58952744763339,0.015015390149576,0.295301713987051,-2.99673941425773,0.357366285559909
"EPHA5",-0.474948781053913,4.13251762215737,-3.42439052869953,0.0179747100570393,0.313391824209881,-3.19144039922451,0.397443561880384
"ANKK1",1.62224224236762,-1.3198435859453,3.35465464419123,0.0194185018291903,0.323738105353621,-3.27495378530224,0.397443561880384
"CDK14",1.59971401142332,-1.28453096033559,3.29880551088538,0.0206694670113951,0.325891981767624,-3.34237951080846,0.397443561880384
"PRKD2",-0.533165299898463,3.36479666350615,-3.27452057074423,0.0212415447858041,0.328755738684019,-3.37184694561312,0.397443561880384
"PIM3",-0.301378064379548,7.125047277157,-3.24878626026324,0.0218672845632461,0.333459955463838,-3.40317035797745,0.397443561880384
"CDK9",-0.496199882528914,5.01461216221201,-3.15697426347516,0.0242744792856428,0.348077611794495,-3.51572565132407,0.397443561880384
"STK19",0.910921860035837,2.77115056848935,3.14991803103292,0.0244714460535117,0.348640804666246,-3.52442724591324,0.397443561880384
"CDC7",0.337351594785828,5.54832162355126,3.14807880047777,0.0245230797963983,0.348640804666246,-3.52669652878309,0.397443561880384
"PIM2",0.360788254880777,4.85120406924916,3.13609182034741,0.0248626009300076,0.348821385526851,-3.54149827692434,0.397443561880384
"STK26",0.407906367100078,4.13668396201227,3.1029875565408,0.0258279020345759,0.354526964684378,-3.5824829325533,0.397443561880384
"CDK5",0.388962600646972,5.79975118500463,3.10110880613207,0.025883929450193,0.354526964684378,-3.58481358794458,0.397443561880384
"MAPK12",-0.263068963069903,5.0451590891193,-3.00504737506125,0.0289379559960127,0.368592308885686,-3.70463567350665,0.422262993680865
"EPHA6",-1.53745562745276,0.590500114635683,-2.99290122235715,0.029351944911373,0.371178116674983,-3.71987578307029,0.422262993680865
