"kinase","Initial_Dex_logFC","Initial_Dex_P","Initial_Dex_FDR","Initial_Dex_kinaseFDR","Memory_logFC","Memory_P","Memory_FDR","Memory_kinaseFDR","JNKIN8_Memory_logFC","JNK_Interaction","JNK_Interaction_P","T5224_Memory_logFC","T5224_Interaction","T5224_Interaction_P","JNK_candidate_FDR","T5224_candidate_FDR","Initial_status","Trajectory","JNK_interference_status","T5224_interference_status"
"ACVR1C",-0.00389229043911232,0.980421235703749,0.999999999999964,0.999999999999964,-1.92808428090835,7.63447291392428e-06,0.00194624527355684,0.00363400910702796,-1.02740608316186,0.900678197746493,0.0381200094914601,-1.83106460318402,0.0970196777243295,0.808461829657143,0.101002257955069,0.909519558364286,"Not significant","Memory_emergent","Nominal_only","Not_significant"
"PIM1",-0.47569217375011,0.285502897247659,0.723279988563626,0.707660666128928,0.957005131751797,1.98637706765591e-05,0.00365431946106389,0.00419650535309963,0.782741443140307,-0.17426368861149,0.427582820929504,0.760793713241022,-0.196211418510774,0.373205468081646,0.481030673545692,0.559808202122469,"Not significant","Memory_emergent","Not_significant","Not_significant"
"TESK2",-0.508837689262856,0.00128875313892854,0.107466354038224,0.102241082354998,-1.44002468664609,2.64485631497876e-05,0.00444367423587641,0.00419650535309963,-0.705719377131016,0.734305309515071,0.0432386337669148,-1.30680948140738,0.133215205238705,0.692409918796487,0.101002257955069,0.890241324166911,"Not significant","Initial_nominal_same_direction","Nominal_only","Not_significant"
"TRIB3",-2.79437421306298,5.90924774478341e-06,0.0150643608579514,0.0028128019265169,0.944223114642724,4.6912043799807e-05,0.00648949939230663,0.00558253321217703,0.493065005824916,-0.451158108817808,0.0690778150405267,0.546537540151534,-0.39768557449119,0.104488710851811,0.124340067072948,0.285450742835273,"Significant","Initial_responder_direction_reversal","Not_significant","Not_significant"
"ERBB3",-0.167940270777293,0.118218483245605,0.549663583511679,0.474292258262752,-1.51752035663425,9.36166199133985e-05,0.00960108380663561,0.00891230221575553,-0.647075886027844,0.870444470606411,0.0448898924244752,-1.52410946630005,-0.00658910966579196,0.986910701796085,0.101002257955069,0.986910701796085,"Not significant","Memory_emergent","Nominal_only","Not_significant"
"SNRK",0.650457715022114,0.108764602488891,0.5339426281325,0.468085011248059,-0.9089420834345,0.000337795759064921,0.0220153954787098,0.0216116291632427,-0.530297266607737,0.378644816826763,0.185237860948229,-0.186190468185657,0.722751615248843,0.0188366175829417,0.238162964076294,0.169529558246475,"Not significant","Memory_emergent","Not_significant","Nominal_only"
"CDK2",0.00866365576966643,0.957248844063913,0.999999999999964,0.992702504955169,-0.880833437647585,0.000361062508897751,0.0226075806009838,0.0216116291632427,-0.476699626114916,0.404133811532668,0.150064762133889,-1.31161875470821,-0.430785317060625,0.126866996815677,0.225097143200833,0.285450742835273,"Not significant","Memory_emergent","Not_significant","Not_significant"
"STK32A",-0.285252648972218,0.0956703180441656,0.519293380666509,0.447160541344678,-1.2668494796857,0.000363220658205759,0.0226631910688174,0.0216116291632427,-0.284493370247564,0.982356109438136,0.0223060857270893,-1.7445810688613,-0.477731589175604,0.231390709372712,0.101002257955069,0.416503276870881,"Not significant","Memory_emergent","Nominal_only","Not_significant"
"PRKCE",0.0699909137331458,0.705361098692079,0.920876180561398,0.919868172540903,-1.0870059131003,0.000571988167270534,0.0308372472656878,0.0302518186245304,-0.84924385070231,0.237762062397992,0.502281274984492,-0.479451396143952,0.60755451695635,0.100561456352437,0.502281274984492,0.285450742835273,"Not significant","Memory_emergent","Not_significant","Not_significant"
